epoch,accuracy,loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.18837779760360718,2.001725435256958,0.2838428020477295,0.12230735796613729,1.8474774360656738,0.47595889847214373,0.1847352995883892
1,0.24644170701503754,1.9179834127426147,0.3304690718650818,0.1717773078611471,1.8205870389938354,0.449980792786,0.22165861119578786
2,0.26532503962516785,1.8703726530075073,0.39357656240463257,0.21856992587700785,1.7008320093154907,0.24438062059155563,0.2617534101252139
3,0.3021962344646454,1.8070987462997437,0.45316243171691895,0.2776232747327209,1.5824615955352783,0.5425709027396824,0.3113847554612318
4,0.3346058428287506,1.7380889654159546,0.40329623222351074,0.2710888810503446,1.6644841432571411,0.30897562378867094,0.3386306990313558
5,0.36871209740638733,1.6678414344787598,0.4073813259601593,0.30566312125761985,1.6074882745742798,0.33276729769732394,0.3783256743692177
6,0.3978383243083954,1.6037249565124512,0.48711085319519043,0.35354827500778496,1.4546724557876587,0.36793230279922734,0.40029063176962276
7,0.4253935217857361,1.540805697441101,0.5843076705932617,0.39510575918450963,1.2241806983947754,0.40539705650369995,0.4184968764886714
8,0.4478116035461426,1.484696865081787,0.5886744856834412,0.41207808061655093,1.219264030456543,0.42103449425728423,0.4427397051278717
9,0.4689100384712219,1.434707522392273,0.6169883012771606,0.4278111292770699,1.1571842432022095,0.45017905944837605,0.4634544257349843
10,0.48645803332328796,1.389280915260315,0.5614875555038452,0.41244933390202226,1.2821627855300903,0.4210006311722264,0.47354061552678656
11,0.5007226467132568,1.3505953550338745,0.6045922040939331,0.44404231561367136,1.1731374263763428,0.4279976589324057,0.5040899974137734
12,0.5177679061889648,1.3061152696609497,0.591773509979248,0.4410362384416735,1.1770195960998535,0.44409779411200107,0.4926282394365179
13,0.5291733145713806,1.2788790464401245,0.6255810856819153,0.45619710905330846,1.1153771877288818,0.4507978590881352,0.5158123801149491
14,0.5394319295883179,1.250484585762024,0.6375545859336853,0.4854676275651677,1.0437207221984863,0.48670709765792664,0.5234535311373489
15,0.5557231307029724,1.214115023612976,0.6074094772338867,0.4493267608293581,1.1050341129302979,0.4708416638222003,0.5057236265129519
16,0.5649920105934143,1.1890102624893188,0.618115246295929,0.4738960152229047,1.0694191455841064,0.4760958205329111,0.5145794514814328
17,0.5729411840438843,1.1664046049118042,0.5985350012779236,0.4552429976099462,1.1393972635269165,0.4537085049490652,0.5316191945905868
18,0.5834197402000427,1.137113332748413,0.6109310984611511,0.46497182360840084,1.0779588222503662,0.4458463956145402,0.5312789333757995
19,0.5911176204681396,1.1153086423873901,0.6116354465484619,0.4755150066980007,1.0423989295959473,0.4723089387000748,0.5251958308598117
20,0.5993652939796448,1.0920592546463013,0.590083122253418,0.4708194885691046,1.1017301082611084,0.46382604438953323,0.5505122506950351
21,0.6087441444396973,1.0695481300354004,0.6416396498680115,0.4893228891654497,1.0067429542541504,0.4698986254894998,0.5598144004823976
22,0.6121532320976257,1.048471450805664,0.6496689915657043,0.5004395106578793,0.9677069783210754,0.4785879169682869,0.5406545256761042
23,0.6230401992797852,1.0295449495315552,0.6214959621429443,0.48922880900453847,1.0466400384902954,0.46526555027198346,0.5735321011738209
24,0.6275646686553955,1.0182287693023682,0.6216368675231934,0.4965755232825798,1.0115171670913696,0.4866563653775745,0.5540491202336435
25,0.6343984603881836,0.99940025806427,0.6199464797973633,0.48522128121203445,1.04163658618927,0.4647643676828579,0.553817365323202
26,0.6386401653289795,0.9840556383132935,0.6469925045967102,0.5024886886671739,0.9926052093505859,0.4810336453679732,0.5604714995510924
27,0.6484902501106262,0.9575868844985962,0.613184928894043,0.488074739060283,1.0462456941604614,0.4720882816255255,0.5606392391158297
28,0.6508153676986694,0.9478060007095337,0.6540358066558838,0.5078906093980189,0.9517268538475037,0.48394530454980567,0.5579978569153612
29,0.6531404256820679,0.9385426044464111,0.6400901675224304,0.5055343156447136,0.9788447022438049,0.49067685858691296,0.564975731382511
30,0.6619065403938293,0.9190630912780762,0.65812087059021,0.5133560562199296,0.9544885754585266,0.4961792477802877,0.574542231920203
31,0.667970597743988,0.9005856513977051,0.6571348309516907,0.520568718628402,0.9452759027481079,0.4967931883432841,0.5667233056717711
32,0.6731234192848206,0.8902362585067749,0.6748837828636169,0.5266476854507028,0.9173550605773926,0.5054941351090085,0.5660383738930014
33,0.6769409775733948,0.8758267164230347,0.6362867951393127,0.49597131880855516,1.0035542249679565,0.47613953751526517,0.5651094469145803
34,0.6802871823310852,0.8675084710121155,0.6424848437309265,0.5040564517550943,0.9915934205055237,0.47618987503706967,0.5796629795426529
35,0.6863983273506165,0.8569026589393616,0.596562922000885,0.48374448231287126,1.0663702487945557,0.47657999484105773,0.5620458848153628
36,0.6908285617828369,0.8399014472961426,0.6316382884979248,0.4871055453085381,1.0347023010253906,0.4636640096919461,0.58138678046402
37,0.6950859427452087,0.8294171690940857,0.6576982736587524,0.52295126039408,0.9489309787750244,0.4998125204893597,0.5719592797685916
38,0.6972067952156067,0.8219962120056152,0.641357958316803,0.5238029865424056,0.9644230008125305,0.5074322793516431,0.5717336320982516
39,0.6993119120597839,0.8156411647796631,0.6302295923233032,0.4880769184614023,1.0420233011245728,0.4684512356673135,0.5760012151679538
40,0.7024381756782532,0.8068726062774658,0.6810818314552307,0.5411568294275891,0.8934453129768372,0.5136294111016979,0.5895334962189666
41,0.707795262336731,0.791408896446228,0.663755476474762,0.5239347654705913,0.9359689950942993,0.5072956068615728,0.5744181750969004
42,0.7107487320899963,0.786740243434906,0.6678405404090881,0.5229969833857824,0.9480103254318237,0.4980500954296846,0.5960015318092904
43,0.7116127610206604,0.7799676656723022,0.6478376984596252,0.5054618142016706,1.006874442100525,0.48686688899449965,0.5718614808629048
44,0.7167028188705444,0.7687590718269348,0.6717847585678101,0.5289479573652386,0.9361244440078735,0.5000332789833458,0.593339732237302
45,0.7181638479232788,0.7609339952468872,0.6629102826118469,0.5096287702476106,0.9735761880874634,0.48998867970585,0.5729022429618507
46,0.7222012877464294,0.7552101016044617,0.6500915884971619,0.5108605454319096,0.9909955859184265,0.48541848668076876,0.5831331679690821
