epoch,accuracy,loss,lr,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.34080180525779724,1.7031241655349731,0.001,0.36582615971565247,0.06696060231023103,1.6219104528427124,0.9207282715875476,0.125
1,0.3539420962333679,1.6332368850708008,0.001,0.39456260204315186,0.11343589490642417,1.5663386583328247,0.7837501738427423,0.14675371818647218
2,0.39533573389053345,1.55881929397583,0.001,0.43837159872055054,0.15560632234528898,1.4626644849777222,0.8246036156431615,0.19270198667191882
3,0.4495878219604492,1.4721466302871704,0.001,0.5362727046012878,0.22484858447087835,1.3789221048355103,0.8464976661006676,0.24592097129461196
4,0.5177904367446899,1.368221402168274,0.001,0.566840410232544,0.2414708096803429,1.2289756536483765,0.8573982518442644,0.2656268450776537
5,0.5510110855102539,1.2788434028625488,0.001,0.5623327493667603,0.24113835580841153,1.204298496246338,0.8092734237514352,0.26005731932198445
6,0.5699992775917053,1.2255131006240845,0.001,0.5945907831192017,0.2607171587647115,1.124776005744934,0.8379870922806671,0.28174426624770016
7,0.591347873210907,1.1617798805236816,0.001,0.6106494069099426,0.28972613076373394,1.0996074676513672,0.8234697827086961,0.3031916496667595
8,0.6076939105987549,1.1181265115737915,0.001,0.614875316619873,0.29640164589426393,1.0727261304855347,0.8056615484471678,0.3040378399608184
9,0.6187204718589783,1.0790766477584839,0.001,0.6400901675224304,0.3250276112381782,1.0147017240524292,0.7784205676297531,0.33152416233962123
10,0.6318255662918091,1.0350606441497803,0.001,0.6441752314567566,0.3392900901439127,1.0122382640838623,0.7813127676084566,0.35137234744882356
11,0.6439442038536072,0.998014509677887,0.001,0.6347373127937317,0.31914760983819623,1.0372412204742432,0.8107640269215305,0.32150921210120625
12,0.6565912961959839,0.9544028639793396,0.001,0.6519228219985962,0.3475681562468141,0.9970908761024475,0.7823735381828898,0.35811661332559885
13,0.6666314601898193,0.9213129878044128,0.001,0.6623467803001404,0.3513471891475155,0.9547975063323975,0.7888085430912193,0.3600623070175889
14,0.6808285713195801,0.8742335438728333,0.001,0.6658684611320496,0.3707051547884766,0.9508090615272522,0.775827188620368,0.37856733866038583
15,0.6905869245529175,0.8428319692611694,0.001,0.6705169677734375,0.37430602481119923,0.9273386597633362,0.7875694504746402,0.3704632968444357
16,0.7011202573776245,0.8088014125823975,0.001,0.6671361923217773,0.38061173766728096,0.9604142308235168,0.779517760847785,0.37422900221324634
17,0.7096456289291382,0.7843413352966309,0.001,0.6762924194335938,0.39999928054065376,0.9394713640213013,0.7829127224190484,0.3954543579117663
18,0.7234904766082764,0.740713894367218,0.001,0.6795323491096497,0.39661443020752774,0.927150547504425,0.7922306290504249,0.39632385674030846
19,0.7303952574729919,0.7120901346206665,0.001,0.6857303977012634,0.4159881693995392,0.97563636302948,0.7752180444265456,0.40469522533990476
20,0.7621362805366516,0.6259644031524658,1e-04,0.6913650035858154,0.4228826919906968,0.9487814903259277,0.7817863646252687,0.4090404466800153
21,0.7661523222923279,0.612203061580658,1e-04,0.694182276725769,0.4305304451921503,0.9523424506187439,0.7915338889122807,0.4134820752202904
22,0.7687592506408691,0.6014282703399658,1e-04,0.6948866248130798,0.42889306147468914,0.9630270600318909,0.7838201018657434,0.41335102945649793
23,0.7673148512840271,0.5925589203834534,1e-04,0.6965769529342651,0.4343875061436745,0.9640387892723083,0.7855149637675303,0.418131663701107
24,0.7705559134483337,0.5927860140800476,1e-04,0.6982673406600952,0.43396751206179995,0.9683286547660828,0.7850209226381499,0.41881580086591697
25,0.7733389735221863,0.5830708146095276,1e-04,0.6964361071586609,0.4343102999808044,0.9736822247505188,0.7751208093072603,0.4189947937556006
26,0.7778482437133789,0.5779966711997986,1e-04,0.6978447437286377,0.43288562058498203,0.9715309143066406,0.780469993918585,0.4187653349337409
27,0.7821109294891357,0.5669767260551453,1e-04,0.6995351314544678,0.4379218574340762,0.9816869497299194,0.7836126577334308,0.4216813548623158
28,0.7807369828224182,0.5611053705215454,1e-04,0.6968587040901184,0.4345572909429274,0.9927266240119934,0.7744888420722265,0.4212075098106857
29,0.7819699645042419,0.5559655427932739,1e-04,0.6988308429718018,0.4352995070793915,0.9904413223266602,0.7851726505469014,0.41860426630481273
