epoch,accuracy,loss,lr,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.18176645040512085,2.0644445419311523,0.001,0.36582615971565247,0.06696060231023103,1.9272089004516602,0.9207282715875476,0.125
1,0.18788029253482819,2.0519046783447266,0.001,0.36582615971565247,0.06696060231023103,1.9065279960632324,0.9207282715875476,0.125
2,0.18801161646842957,2.0514392852783203,0.001,0.36582615971565247,0.06696060231023103,1.8789197206497192,0.9207282715875476,0.125
3,0.18801161646842957,2.0510499477386475,0.001,0.36582615971565247,0.06696060231023103,1.8691130876541138,0.9207282715875476,0.125
4,0.18801161646842957,2.0510597229003906,0.001,0.36582615971565247,0.06696060231023103,1.8803318738937378,0.9207282715875476,0.125
5,0.18801161646842957,2.0508217811584473,0.001,0.36582615971565247,0.06696060231023103,1.893835425376892,0.9207282715875476,0.125
6,0.18801161646842957,2.0505757331848145,0.001,0.36582615971565247,0.06696060231023103,1.867812991142273,0.9207282715875476,0.125
7,0.18801161646842957,2.0509185791015625,0.001,0.36582615971565247,0.06696060231023103,1.8696603775024414,0.9207282715875476,0.125
8,0.18801161646842957,2.050894021987915,0.001,0.36582615971565247,0.06696060231023103,1.89053213596344,0.9207282715875476,0.125
9,0.18801161646842957,2.050537586212158,0.001,0.36582615971565247,0.06696060231023103,1.874176263809204,0.9207282715875476,0.125
10,0.18801161646842957,2.050450563430786,0.001,0.36582615971565247,0.06696060231023103,1.8944287300109863,0.9207282715875476,0.125
11,0.18801161646842957,2.0504119396209717,0.001,0.36582615971565247,0.06696060231023103,1.8981971740722656,0.9207282715875476,0.125
12,0.18801161646842957,2.0505831241607666,0.001,0.36582615971565247,0.06696060231023103,1.87748122215271,0.9207282715875476,0.125
13,0.18801161646842957,2.0499684810638428,0.001,0.36582615971565247,0.06696060231023103,1.8970332145690918,0.9207282715875476,0.125
14,0.18801161646842957,2.050128936767578,0.001,0.36582615971565247,0.06696060231023103,1.8772265911102295,0.9207282715875476,0.125
15,0.18801161646842957,2.050062417984009,0.001,0.36582615971565247,0.06696060231023103,1.8970179557800293,0.9207282715875476,0.125
16,0.18801161646842957,2.0501394271850586,0.001,0.36582615971565247,0.06696060231023103,1.8854186534881592,0.9207282715875476,0.125
17,0.18801161646842957,2.0487353801727295,0.000100000005,0.36582615971565247,0.06696060231023103,1.8852535486221313,0.9207282715875476,0.125
18,0.18801161646842957,2.0486810207366943,0.000100000005,0.36582615971565247,0.06696060231023103,1.8848270177841187,0.9207282715875476,0.125
19,0.18801161646842957,2.048679828643799,0.000100000005,0.36582615971565247,0.06696060231023103,1.8845282793045044,0.9207282715875476,0.125
20,0.18801161646842957,2.048707962036133,0.000100000005,0.36582615971565247,0.06696060231023103,1.884450078010559,0.9207282715875476,0.125
