epoch,accuracy,loss,lr,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.3419291079044342,1.689736008644104,1e-04,0.36582615971565247,0.06696060231023103,1.67593514919281,0.9207282715875476,0.125
1,0.3652152419090271,1.6225476264953613,1e-04,0.37216508388519287,0.07884953341783439,1.599631667137146,0.6780211010999908,0.13055462225771824
2,0.41034314036369324,1.5585503578186035,1e-04,0.4537258744239807,0.1637192757346982,1.5522265434265137,0.7487185636239464,0.1925841002935082
3,0.4680476188659668,1.4907585382461548,1e-04,0.5041555166244507,0.22784485434189125,1.464343547821045,0.6556118013117447,0.23367413718863636
4,0.49957725405693054,1.4244948625564575,1e-04,0.5173968076705933,0.23689601627181917,1.403757095336914,0.6737118138251418,0.25617508558217217
5,0.5180723071098328,1.3826671838760376,1e-04,0.5319058895111084,0.25686623299529543,1.318246603012085,0.6750129451375432,0.26939089712800107
6,0.531071662902832,1.3386034965515137,1e-04,0.5389491319656372,0.24372279086497234,1.2914886474609375,0.6993464532892373,0.2486367732122403
7,0.5421334505081177,1.3040900230407715,1e-04,0.5640230774879456,0.27877935368336926,1.230256199836731,0.7079159146999414,0.27921586142825144
8,0.556577205657959,1.2727676630020142,1e-04,0.5693759918212891,0.2704822788272493,1.2071696519851685,0.719722775729935,0.2787513637968855
9,0.5661593675613403,1.2375653982162476,1e-04,0.5812086462974548,0.2822483266615839,1.1788040399551392,0.7108437216762947,0.29359462753377097
10,0.573663055896759,1.2144129276275635,1e-04,0.590787410736084,0.30637033823185794,1.1544783115386963,0.7290775256528813,0.30316187955547
11,0.5885295271873474,1.179043173789978,1e-04,0.6030426621437073,0.31943093653697086,1.1137669086456299,0.72976490285909,0.3170212006364206
12,0.5960685014724731,1.1536943912506104,1e-04,0.6052964925765991,0.320368131262545,1.1035133600234985,0.737973739264948,0.31690034275274104
13,0.606848418712616,1.130265235900879,1e-04,0.620509922504425,0.3362944132643705,1.0771386623382568,0.7385418704213242,0.32857792348506654
14,0.6120270490646362,1.1050831079483032,1e-04,0.6274123191833496,0.3551560651385695,1.062196969985962,0.7174616064331606,0.34732676988632927
15,0.6183329820632935,1.0857677459716797,1e-04,0.6271305680274963,0.3481907199501407,1.0444812774658203,0.7255624619221546,0.3384757149618659
16,0.6245332360267639,1.0654946565628052,1e-04,0.6327651739120483,0.3670074058440001,1.0405274629592896,0.7491609913524084,0.35098235600776756
17,0.6299936771392822,1.0437912940979004,1e-04,0.642062246799469,0.3619459548297056,1.0142220258712769,0.7308733027880886,0.35848750748926783
18,0.6377087235450745,1.0248576402664185,1e-04,0.6405127644538879,0.37165218954105755,1.0092673301696777,0.744422224794877,0.3533289592177902
19,0.6426759958267212,1.0112173557281494,1e-04,0.6312156915664673,0.3487535124511487,1.070265293121338,0.7845416582630818,0.33217111455614134
20,0.649193286895752,0.9949916005134583,1e-04,0.6534723043441772,0.3765871499812977,0.9761108160018921,0.7309867422904781,0.3653762664586463
21,0.6530684232711792,0.97613924741745,1e-04,0.6560078859329224,0.38347620018886686,0.9759787917137146,0.7719098727210024,0.3614217971501574
22,0.6601493954658508,0.9622441530227661,1e-04,0.6636145710945129,0.3906382362183499,0.947973370552063,0.768972108528025,0.3759502168163721
