epoch,accuracy,loss,lr,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.3442894518375397,1.7347588539123535,0.001,0.36582615971565247,0.06696060231023103,1.6314971446990967,0.9207282715875476,0.125
1,0.35876840353012085,1.6429593563079834,0.001,0.36582615971565247,0.06696060231023103,1.6237705945968628,0.9207282715875476,0.125
2,0.3576411008834839,1.6515555381774902,0.001,0.36582615971565247,0.06696060231023103,1.6304322481155396,0.9207282715875476,0.125
3,0.357077419757843,1.627509355545044,0.001,0.37667277455329895,0.08249994047078565,1.731512188911438,0.7584635314842177,0.13214206784427066
4,0.3968505561351776,1.5647282600402832,0.001,0.4263980984687805,0.16135012561806722,1.5255190134048462,0.7789714685503295,0.19384990712832523
5,0.4159092605113983,1.5222316980361938,0.001,0.44541484117507935,0.16499397776284713,1.4546093940734863,0.7938372437481932,0.20146147300820133
6,0.44285914301872253,1.4791260957717896,0.001,0.48373010754585266,0.20724137476885898,1.4157593250274658,0.7943609686211885,0.22547152941306267
7,0.5047558546066284,1.3768963813781738,0.001,0.5407803654670715,0.23197560401944628,1.291296124458313,0.7341023720257009,0.2499907817504345
8,0.5543577671051025,1.2665865421295166,0.001,0.5886744856834412,0.2603776864210742,1.1996179819107056,0.806389440464707,0.2795793466698816
9,0.5923694968223572,1.1773179769515991,0.001,0.6130440831184387,0.26504941695889295,1.1397931575775146,0.7605468361588408,0.29486173046937497
10,0.6150214672088623,1.1087828874588013,0.001,0.6436117887496948,0.3206154845255993,1.0280849933624268,0.7475075510941525,0.32962466562192233
11,0.6372155547142029,1.036523461341858,0.001,0.6506550312042236,0.35027750219624776,1.022544026374817,0.766875117640189,0.3423645393026577
12,0.6476079821586609,1.0011388063430786,0.001,0.6691083312034607,0.36476921768447385,0.944050133228302,0.7733656976898824,0.35998336986062474
13,0.6655745506286621,0.9571934938430786,0.001,0.6798140406608582,0.37538982639420054,0.9273178577423096,0.7641879236168883,0.3788551852173763
14,0.6727259755134583,0.9267951846122742,0.001,0.6741794347763062,0.37841906473743236,0.9305830597877502,0.6562321636221146,0.372056509626258
15,0.680229663848877,0.8956699371337891,0.001,0.6961544156074524,0.40914371658264703,0.8613629341125488,0.7767240995095501,0.40420348901213987
16,0.6898823380470276,0.872357189655304,0.001,0.7048879861831665,0.4273975584389252,0.840033769607544,0.7511704992420856,0.41947016552901095
17,0.6980201601982117,0.8459580540657043,0.001,0.6929144859313965,0.40375776649792877,0.8671346306800842,0.7832459971900883,0.39036335862926685
18,0.7056647539138794,0.8227818012237549,0.001,0.6968587040901184,0.42604572404486196,0.8650115728378296,0.7448889068763781,0.41557852369194903
19,0.716162919998169,0.7959082722663879,0.001,0.7041836977005005,0.4365453585509783,0.8365659713745117,0.7648461490473761,0.42761463475737227
20,0.716726541519165,0.7848387360572815,0.001,0.6993942856788635,0.4333492278109634,0.851603090763092,0.7592931254825359,0.42415931400235074
21,0.7253575921058655,0.7648962140083313,0.001,0.7170023918151855,0.46260600120162054,0.8024309277534485,0.7965700692066487,0.4342022193554573
22,0.7285985946655273,0.7465189695358276,0.001,0.7123538255691528,0.466743142440639,0.8230873346328735,0.7682409244917618,0.4416418713898879
23,0.7364193797111511,0.731753408908844,0.001,0.7192562222480774,0.4782821925092213,0.8159224987030029,0.7585942762596863,0.4471553339711378
24,0.7374410033226013,0.724129855632782,0.001,0.7210874557495117,0.48766285259235165,0.8152392506599426,0.7681882227078733,0.4601574337409095
25,0.7433241605758667,0.707421600818634,0.001,0.7060149312019348,0.45771080926937807,0.840930700302124,0.7592710824379791,0.44005548784723886
26,0.74737548828125,0.695033848285675,0.001,0.7267220616340637,0.495587063204971,0.7901181578636169,0.7709872996610206,0.4675191761179508
27,0.7493482828140259,0.6804836392402649,0.001,0.727003812789917,0.5011964004663777,0.7855949401855469,0.648988701900548,0.46779775100242615
28,0.7575565576553345,0.6667473316192627,0.001,0.7208057641983032,0.4845047575985267,0.8436034917831421,0.8018881567893485,0.44289640640324535
29,0.7603043913841248,0.6507630944252014,0.001,0.7291167974472046,0.49829737462174567,0.7931233048439026,0.6189909283330521,0.46961919777672106
30,0.7660466432571411,0.6410019397735596,0.001,0.7316523194313049,0.5137179214368395,0.792978048324585,0.7141917983329349,0.47847796504317525
31,0.7689353823661804,0.6330553293228149,0.001,0.733483612537384,0.5244194550148421,0.7871379256248474,0.7598192973468749,0.48553897028759235
32,0.7736912369728088,0.6091530919075012,0.001,0.7403859496116638,0.5323369380613636,0.8059355616569519,0.7067700292591825,0.4898976857767171
33,0.7816177010536194,0.5967069864273071,0.001,0.7348922491073608,0.5346008635410496,0.8188988566398621,0.7469616293539096,0.48976496586668716
34,0.7832030057907104,0.5915079116821289,0.001,0.7386955618858337,0.5541274859272467,0.7924676537513733,0.7446191672406797,0.5086474412894493
35,0.7823927402496338,0.5896512269973755,0.001,0.7299619913101196,0.5439852834787228,0.8124231100082397,0.7139447742542562,0.5048357411181266
